RSI7,428,450,3620,3815,10388,10897,9663,8446,3382,2854,448,401,39,492,1749,948,288,32
RSI9,153,156,2161,2325,8758,8955,7883,6983,2045,1735,178,165,13,278,1400,707,154,7 
RSI14,21,24,694,694,5616,5651,4902,4372,679,595,32,33,1,60,840,388,42,2
RSI5,1394,1520,6189,6548,12074,12809,11537,10078,5857,4973,1425,1185,177,996,1935,1253,568,102
DS7,19041,19126,12675,12292,9232,8774,9426,9185,12920,12247,18824,16745,2834,1846,1242,1252,1772,2490
DS9,20824,20822,12510,11944,8671,8199,9032,8696,12580,12165,20366,18152,3128,1757,1217,1174,1678,2703
DS14,21956,22060,11923,11470,8436,7965,8563,8269,12038,11522,21190,19127,3326,1671,1192,1133,1576,2863
S773D,1294,1323,10320,9954,15158,14802,12546,11721,7133,6695,622,620,224,1546,2305,1521,768,188
S773K,6143,6430,14715,14622,13963,13546,12875,12080,12370,11301,4361,3666,993,2249,2078,1555,1452,559
S7143K,8982,9303,15851,15515,12921,12550,12077,11260,12960,12111,6031,5246,1425,2456,1973,1443,1501,730
S7143D,4537,4249,14877,14703,14904,14711,13097,12114,11174,10542,2108,2003,657,2356,2237,1616,1196,328
S7143K,8982,9303,15851,15515,12921,12550,12077,11260,12960,12111,6031,5246,1425,2456,1973,1443,1501,730
